PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SG,Daryl Macon (14074388),Daryl Macon,14074388,PG/SG/G/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,MIA,1
,,,,,,,,,SF/PF,KZ Okpala (14074392),KZ Okpala,14074392,SF/PF/F/UTIL,3000,MIA@ORL 01/03/2020 07:00PM ET,MIA,0.25
,,,,,,,,,SG/SF,Romeo Langford (14074195),Romeo Langford,14074195,SG/SF/F/G/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,BOS,5.89
,,,,,,,,,SF/PF,Grant Williams (14074209),Grant Williams,14074209,SF/PF/F/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,BOS,8.67
,,,,,,,,,SG,Javonte Green (14074273),Javonte Green,14074273,SG/G/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,BOS,5.57
,,,,,,,,,C,Tacko Fall (14074276),Tacko Fall,14074276,C/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,BOS,8.08
,,,,,,,,,PG,Carsen Edwards (14074278),Carsen Edwards,14074278,PG/G/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,BOS,7.32
,,,,,,,,,PF/C,Robert Williams (14074281),Robert Williams,14074281,PF/C/F/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,BOS,14.86
,,,,,,,,,PG,Tremont Waters (14074285),Tremont Waters,14074285,PG/G/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,BOS,8.67
,,,,,,,,,C,Vincent Poirier (14074288),Vincent Poirier,14074288,C/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,BOS,4.97
,,,,,,,,,PG/SG,Evan Turner (14074396),Evan Turner,14074396,PG/SG/G/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,ATL,9.92
,,,,,,,,,SF/PF,Chandler Parsons (14074400),Chandler Parsons,14074400,SF/PF/F/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,ATL,7.55
,,,,,,,,,C,Damian Jones (14074404),Damian Jones,14074404,C/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,ATL,14.65
,,,,,,,,,SG/SF,Charlie Brown (14074406),Charlie Brown,14074406,SG/SF/F/G/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,ATL,3.31
,,,,,,,,,C,Bruno Fernando (14074411),Bruno Fernando,14074411,C/UTIL,3000,ATL@BOS 01/03/2020 07:00PM ET,ATL,9.92
,,,,,,,,,C,Jaxson Hayes (14074203),Jaxson Hayes,14074203,C/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,18.48
,,,,,,,,,C,Jahlil Okafor (14074241),Jahlil Okafor,14074241,C/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,17.14
,,,,,,,,,SF/PF,Jared Dudley (14074330),Jared Dudley,14074330,SF/PF/F/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,LAL,4.41
,,,,,,,,,PF,DeMarcus Cousins (14074334),DeMarcus Cousins,14074334,PF/F/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,LAL,0
,,,,,,,,,SG,Troy Daniels (14074337),Troy Daniels,14074337,SG/G/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,LAL,7.18
,,,,,,,,,PG,Quinn Cook (14074340),Quinn Cook,14074340,PG/G/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,LAL,8.65
,,,,,,,,,PG/SG,Alex Caruso (14074343),Alex Caruso,14074343,PG/SG/G/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,LAL,12.99
,,,,,,,,,PF,Devontae Cacok (14074347),Devontae Cacok,14074347,PF/F/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,LAL,0
,,,,,,,,,SF/PF,Kostas Antetokounmpo (14074350),Kostas Antetokounmpo,14074350,SF/PF/F/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,LAL,0.62
,,,,,,,,,SG/SF,Talen Horton-Tucker (14074354),Talen Horton-Tucker,14074354,SG/SF/F/G/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,LAL,2.5
,,,,,,,,,SF/PF,Darius Miller (14074453),Darius Miller,14074453,SF/PF/F/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,0
,,,,,,,,,PG,Josh Gray (14074457),Josh Gray,14074457,PG/G/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,2.5
,,,,,,,,,SF/PF,Kenrich Williams (14074460),Kenrich Williams,14074460,SF/PF/F/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,16.09
,,,,,,,,,SF/PF,Zylan Cheatham (14074464),Zylan Cheatham,14074464,SF/PF/F/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,3.38
,,,,,,,,,PG/SG,Frank Jackson (14074468),Frank Jackson,14074468,PG/SG/G/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,9.27
,,,,,,,,,PG/SG,Nickeil Alexander-Walker (14074472),Nickeil Alexander-Walker,14074472,PG/SG/G/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,11.68
,,,,,,,,,PF/C,Nicolo Melli (14074476),Nicolo Melli,14074476,PF/C/F/UTIL,3000,NO@LAL 01/03/2020 10:30PM ET,NO,11.07
,,,,,,,,,SF/PF,Cameron Johnson (14074173),Cameron Johnson,14074173,SF/PF/F/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,PHO,16.36
,,,,,,,,,PG/SG,Elie Okobo (14074177),Elie Okobo,14074177,PG/SG/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,PHO,10.85
,,,,,,,,,PF/C,Taj Gibson (14074186),Taj Gibson,14074186,PF/C/F/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,NY,12.82
,,,,,,,,,SG/SF,Damyean Dotson (14074233),Damyean Dotson,14074233,SG/SF/F/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,NY,11.69
,,,,,,,,,PG,Dennis Smith Jr. (14074238),Dennis Smith Jr.,14074238,PG/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,NY,13.07
,,,,,,,,,PG/SG,Jevon Carter (14074311),Jevon Carter,14074311,PG/SG/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,PHO,10.31
,,,,,,,,,PF/C,Cheick Diallo (14074315),Cheick Diallo,14074315,PF/C/F/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,PHO,9.73
,,,,,,,,,PG/SG,Ty Jerome (14074319),Ty Jerome,14074319,PG/SG/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,PHO,11.68
,,,,,,,,,PG,Jared Harper (14074323),Jared Harper,14074323,PG/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,PHO,0
,,,,,,,,,PG/SG,Jalen Lecque (14074326),Jalen Lecque,14074326,PG/SG/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,PHO,0
,,,,,,,,,SG/SF,Wayne Ellington (14074432),Wayne Ellington,14074432,SG/SF/F/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,NY,8.65
,,,,,,,,,PG/SG,Kadeem Allen (14074437),Kadeem Allen,14074437,PG/SG/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,NY,7.25
,,,,,,,,,PG/SG,Allonzo Trier (14074441),Allonzo Trier,14074441,PG/SG/G/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,NY,11.41
,,,,,,,,,PF/C,Ivan Rabb (14074445),Ivan Rabb,14074445,PF/C/F/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,NY,0
,,,,,,,,,SF/PF,Ignas Brazdeikis (14074449),Ignas Brazdeikis,14074449,SF/PF/F/UTIL,3000,NY@PHO 01/03/2020 09:00PM ET,NY,3.09
