PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
13993209,13992951,13993004,13992942,13993030,13992882,13992874,13992998,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG,Rajon Rondo (13992995),Rajon Rondo,13992995,PG/G/UTIL,4800,LAL@MIL 12/19/2019 08:00PM ET,LAL,23.72
,,,,,,,,,C,DeAndre Jordan (13992998),DeAndre Jordan,13992998,C/UTIL,4800,BKN@SA 12/19/2019 08:30PM ET,BKN,25.94
,,,,,,,,,SF/PF,P.J. Tucker (13993004),P.J. Tucker,13993004,SF/PF/F/UTIL,4700,HOU@LAC 12/19/2019 10:30PM ET,HOU,24.92
,,,,,,,,,SF/PF,Rudy Gay (13993000),Rudy Gay,13993000,SF/PF/F/UTIL,4700,BKN@SA 12/19/2019 08:30PM ET,SA,23.95
,,,,,,,,,SG/SF,Garrett Temple (13993008),Garrett Temple,13993008,SG/SF/F/G/UTIL,4700,BKN@SA 12/19/2019 08:30PM ET,BKN,21.36
,,,,,,,,,C,JaVale McGee (13993013),JaVale McGee,13993013,C/UTIL,4600,LAL@MIL 12/19/2019 08:00PM ET,LAL,19.4
,,,,,,,,,SG/SF,Ben McLemore (13993015),Ben McLemore,13993015,SG/SF/F/G/UTIL,4500,HOU@LAC 12/19/2019 10:30PM ET,HOU,17.93
,,,,,,,,,C,Alex Len (13993020),Alex Len,13993020,C/UTIL,4500,UTA@ATL 12/19/2019 07:30PM ET,ATL,18.55
,,,,,,,,,PG/SG,Patrick Beverley (13993022),Patrick Beverley,13993022,PG/SG/G/UTIL,4400,HOU@LAC 12/19/2019 10:30PM ET,LAC,24.38
,,,,,,,,,PG/SG,George Hill (13993026),George Hill,13993026,PG/SG/G/UTIL,4300,LAL@MIL 12/19/2019 08:00PM ET,MIL,20.4
,,,,,,,,,C,Brook Lopez (13993030),Brook Lopez,13993030,C/UTIL,4200,LAL@MIL 12/19/2019 08:00PM ET,MIL,24.17
,,,,,,,,,SF/PF,Danuel House Jr. (13993036),Danuel House Jr.,13993036,SF/PF/F/UTIL,4100,HOU@LAC 12/19/2019 10:30PM ET,HOU,21.77
,,,,,,,,,SF/PF,Moe Harkless (13993049),Moe Harkless,13993049,SF/PF/F/UTIL,4100,HOU@LAC 12/19/2019 10:30PM ET,LAC,15.58
,,,,,,,,,PG/SG,Patty Mills (13993032),Patty Mills,13993032,PG/SG/G/UTIL,4100,BKN@SA 12/19/2019 08:30PM ET,SA,19.24
,,,,,,,,,SF,Royce O'Neale (13993055),Royce O'Neale,13993055,SF/F/UTIL,4100,UTA@ATL 12/19/2019 07:30PM ET,UTA,18.39
,,,,,,,,,C,Ivica Zubac (13993053),Ivica Zubac,13993053,C/UTIL,4000,HOU@LAC 12/19/2019 10:30PM ET,LAC,19.78
,,,,,,,,,SG/SF,Kentavious Caldwell-Pope (13993040),Kentavious Caldwell-Pope,13993040,SG/SF/F/G/UTIL,4000,LAL@MIL 12/19/2019 08:00PM ET,LAL,16.06
,,,,,,,,,PG/SG,Derrick White (13993045),Derrick White,13993045,PG/SG/G/UTIL,4000,BKN@SA 12/19/2019 08:30PM ET,SA,19.27
,,,,,,,,,SG/SF,Danny Green (13993058),Danny Green,13993058,SG/SF/F/G/UTIL,3900,LAL@MIL 12/19/2019 08:00PM ET,LAL,18.72
,,,,,,,,,PG/SG,Cam Reddish (13993063),Cam Reddish,13993063,PG/SG/G/UTIL,3900,UTA@ATL 12/19/2019 07:30PM ET,ATL,17.72
,,,,,,,,,SG/SF,Landry Shamet (13993067),Landry Shamet,13993067,SG/SF/F/G/UTIL,3800,HOU@LAC 12/19/2019 10:30PM ET,LAC,14.94
,,,,,,,,,PG/SG,Alex Caruso (13993072),Alex Caruso,13993072,PG/SG/G/UTIL,3800,LAL@MIL 12/19/2019 08:00PM ET,LAL,13.79
,,,,,,,,,SF/PF,Kyle Kuzma (13993080),Kyle Kuzma,13993080,SF/PF/F/UTIL,3700,LAL@MIL 12/19/2019 08:00PM ET,LAL,17.9
,,,,,,,,,PG/SG,Bryn Forbes (13993076),Bryn Forbes,13993076,PG/SG/G/UTIL,3700,BKN@SA 12/19/2019 08:30PM ET,SA,19.85
,,,,,,,,,PG,Emmanuel Mudiay (13993186),Emmanuel Mudiay,13993186,PG/G/UTIL,3700,UTA@ATL 12/19/2019 07:30PM ET,UTA,14.03
,,,,,,,,,PF/C,Ersan Ilyasova (13993084),Ersan Ilyasova,13993084,PF/C/F/UTIL,3600,LAL@MIL 12/19/2019 08:00PM ET,MIL,17.04
,,,,,,,,,PG/SG,Avery Bradley (13993088),Avery Bradley,13993088,PG/SG/G/UTIL,3600,LAL@MIL 12/19/2019 08:00PM ET,LAL,16.57
,,,,,,,,,PG/SG,Austin Rivers (13993092),Austin Rivers,13993092,PG/SG/G/UTIL,3500,HOU@LAC 12/19/2019 10:30PM ET,HOU,15.83
,,,,,,,,,SG/SF,Sterling Brown (13993096),Sterling Brown,13993096,SG/SF/F/G/UTIL,3500,LAL@MIL 12/19/2019 08:00PM ET,MIL,14.85
,,,,,,,,,SF/PF,Wilson Chandler (13993101),Wilson Chandler,13993101,SF/PF/F/UTIL,3500,BKN@SA 12/19/2019 08:30PM ET,BKN,16.75
,,,,,,,,,C,Jakob Poeltl (13993105),Jakob Poeltl,13993105,C/UTIL,3400,BKN@SA 12/19/2019 08:30PM ET,SA,19.14
,,,,,,,,,SG/SF,Lonnie Walker IV (13993107),Lonnie Walker IV,13993107,SG/SF/F/G/UTIL,3400,BKN@SA 12/19/2019 08:30PM ET,SA,8.1
