N,dataFile,opt_hidden_layer_sizes,opt_max_iter,opt_alpha,Logistic train,Logistic test,Boost train,Boost test,Naive train,Naive test
10,RBS dataframe N10.pkl,"(16, 8, 4, 2)",1000,10,10.59635039577994,10.637966132889547,10.513255826542,10.6757205155086,10.716911150385236,10.755767471789724
10,RBS dataframe N10.pkl,"(4, 2)",2000,10,10.652637102806457,10.45607199853813,10.608058770886649,10.48470012330726,10.775204974176756,10.569157050479783
10,RBS dataframe N10.pkl,"(4, 2)",2000,10,10.652637102806457,10.45607199853813,10.635143818205252,10.471498003716212,10.775204974176756,10.569157050479783
20,RBS dataframe N20.pkl,"(4, 2)",2000,10,10.303433912347552,11.071717041369169,15.400447781454572,15.555857910679698,10.462566649244572,11.153567205571859
20,RBS dataframe N20.pkl,"(10, 10, 10, 10, 10, 10)",1000,10,10.303433912347552,11.07171704136917,10.198518134514105,11.01052134299994,10.462566649244572,11.153567205571859
20,RBS dataframe N20.pkl,"(8, 4, 2)",1000,10,10.303433912347552,11.071717041369173,15.400234614775762,15.554915790753714,10.462566649244573,11.15356720557186
