Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Yuta Watanabe (14010102),Yuta Watanabe,14010102,SF/PF/F/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,MEM,3.81
SG,John Konchar (14010106),John Konchar,14010106,SG/G/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,MEM,0
SF/PF,Josh Jackson (14010109),Josh Jackson,14010109,SF/PF/F/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,MEM,0
SG/SF,Marko Guduric (14010113),Marko Guduric,14010113,SG/SF/F/G/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,MEM,10.47
C,Dewayne Dedmon (14010244),Dewayne Dedmon,14010244,C/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,SAC,11.85
PG/SG,Yogi Ferrell (14010246),Yogi Ferrell,14010246,PG/SG/G/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,SAC,10.95
PF/C,Caleb Swanigan (14010250),Caleb Swanigan,14010250,PF/C/F/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,SAC,2.65
SG/SF,Justin James (14010254),Justin James,14010254,SG/SF/F/G/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,SAC,9.33
SG/SF,DaQuan Jeffries (14010259),DaQuan Jeffries,14010259,SG/SF/F/G/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,SAC,2.38
PF/C,Harry Giles (14010264),Harry Giles,14010264,PF/C/F/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,SAC,6.82
PG/SG,Kyle Guy (14010268),Kyle Guy,14010268,PG/SG/G/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,SAC,0
SF/PF,Wenyen Gabriel (14010272),Wenyen Gabriel,14010272,SF/PF/F/UTIL,3000,SAC@MEM 12/21/2019 08:00PM ET,SAC,5.36
