Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kyle Anderson (14009914),Kyle Anderson,14009914,SF/PF/F/UTIL,3300,SAC@MEM 12/21/2019 08:00PM ET,MEM,17.23
PG/SG,Frank Ntilikina (14009931),Frank Ntilikina,14009931,PG/SG/G/UTIL,3200,MIL@NY 12/21/2019 07:30PM ET,NY,15.95
PF/C,Taj Gibson (14009968),Taj Gibson,14009968,PF/C/F/UTIL,3200,MIL@NY 12/21/2019 07:30PM ET,NY,13.78
PF/C,Jordan Bell (14009960),Jordan Bell,14009960,PF/C/F/UTIL,3200,MIN@POR 12/21/2019 10:00PM ET,MIN,10.16
SF/PF,James Ennis III (14009964),James Ennis III,14009964,SF/PF/F/UTIL,3200,WAS@PHI 12/21/2019 07:00PM ET,PHI,14.07
PF/C,Kyle O'Quinn (14009972),Kyle O'Quinn,14009972,PF/C/F/UTIL,3200,WAS@PHI 12/21/2019 07:00PM ET,PHI,10.79
PF/C,Thon Maker (14009927),Thon Maker,14009927,PF/C/F/UTIL,3200,CHI@DET 12/21/2019 07:00PM ET,DET,8.35
SG/SF,Lonnie Walker IV (14009939),Lonnie Walker IV,14009939,SG/SF/F/G/UTIL,3200,LAC@SA 12/21/2019 08:30PM ET,SA,8.55
PG/SG,Jevon Carter (14009944),Jevon Carter,14009944,PG/SG/G/UTIL,3200,HOU@PHO 12/21/2019 09:00PM ET,PHO,11.17
PG/SG,Ty Jerome (14009948),Ty Jerome,14009948,PG/SG/G/UTIL,3200,HOU@PHO 12/21/2019 09:00PM ET,PHO,11.34
PG/SG,Elie Okobo (14009952),Elie Okobo,14009952,PG/SG/G/UTIL,3200,HOU@PHO 12/21/2019 09:00PM ET,PHO,10.75
PG/SG,Austin Rivers (14009956),Austin Rivers,14009956,PG/SG/G/UTIL,3200,HOU@PHO 12/21/2019 09:00PM ET,HOU,15.74
PG/SG,Tyus Jones (14009935),Tyus Jones,14009935,PG/SG/G/UTIL,3200,SAC@MEM 12/21/2019 08:00PM ET,MEM,16.73
