Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (13977439),LeBron James,13977439,PG/SF/F/G/UTIL,10900,LAL@IND 12/17/2019 07:00PM ET,LAL,56.07
PF/C,Anthony Davis (13977444),Anthony Davis,13977444,PF/C/F/UTIL,10500,LAL@IND 12/17/2019 07:00PM ET,LAL,52.24
PG,Kyrie Irving (13977448),Kyrie Irving,13977448,PG/G/UTIL,10200,BKN@NO 12/17/2019 08:00PM ET,BKN,50.07
PG,Trae Young (13977451),Trae Young,13977451,PG/G/UTIL,9900,ATL@NY 12/17/2019 07:30PM ET,ATL,48.22
SG/SF,Kawhi Leonard (13977454),Kawhi Leonard,13977454,SG/SF/F/G/UTIL,9400,PHO@LAC 12/17/2019 10:30PM ET,LAC,47.92
SF/PF,Paul George (13977459),Paul George,13977459,SF/PF/F/UTIL,8800,PHO@LAC 12/17/2019 10:30PM ET,LAC,42.10
PG/SG,Devin Booker (13977463),Devin Booker,13977463,PG/SG/G/UTIL,8300,PHO@LAC 12/17/2019 10:30PM ET,PHO,40.90
SF/PF,Brandon Ingram (13977467),Brandon Ingram,13977467,SF/PF/F/UTIL,8100,BKN@NO 12/17/2019 08:00PM ET,NO,42.42
PF/C,Domantas Sabonis (13977471),Domantas Sabonis,13977471,PF/C/F/UTIL,8000,LAL@IND 12/17/2019 07:00PM ET,IND,43.06
C,Rudy Gobert (13977475),Rudy Gobert,13977475,C/UTIL,7900,ORL@UTA 12/17/2019 09:00PM ET,UTA,39.20
PG,Devonte' Graham (13977481),Devonte' Graham,13977481,PG/G/UTIL,7800,SAC@CHA 12/17/2019 07:00PM ET,CHA,38.42
PG/SG,Donovan Mitchell (13977477),Donovan Mitchell,13977477,PG/SG/G/UTIL,7800,ORL@UTA 12/17/2019 09:00PM ET,UTA,39.39
PG,De'Aaron Fox (13977488),De'Aaron Fox,13977488,PG/G/UTIL,7700,SAC@CHA 12/17/2019 07:00PM ET,SAC,35.22
PG/SG,Jrue Holiday (13977484),Jrue Holiday,13977484,PG/SG/G/UTIL,7700,BKN@NO 12/17/2019 08:00PM ET,NO,40.37
PG,Ricky Rubio (13977491),Ricky Rubio,13977491,PG/G/UTIL,7600,PHO@LAC 12/17/2019 10:30PM ET,PHO,37.32
PG/SG,Spencer Dinwiddie (13977494),Spencer Dinwiddie,13977494,PG/SG/G/UTIL,7500,BKN@NO 12/17/2019 08:00PM ET,BKN,36.38
C,Deandre Ayton (13977502),Deandre Ayton,13977502,C/UTIL,7400,PHO@LAC 12/17/2019 10:30PM ET,PHO,43.25
PG/SG,Malcolm Brogdon (13977498),Malcolm Brogdon,13977498,PG/SG/G/UTIL,7400,LAL@IND 12/17/2019 07:00PM ET,IND,38.28
C,Nikola Vucevic (13977504),Nikola Vucevic,13977504,C/UTIL,7300,ORL@UTA 12/17/2019 09:00PM ET,ORL,40.82
SG/SF,Buddy Hield (13977506),Buddy Hield,13977506,SG/SF/F/G/UTIL,7200,SAC@CHA 12/17/2019 07:00PM ET,SAC,35.72
PF/C,John Collins (13977511),John Collins,13977511,PF/C/F/UTIL,7100,ATL@NY 12/17/2019 07:30PM ET,ATL,36.9
PF/C,Julius Randle (13977515),Julius Randle,13977515,PF/C/F/UTIL,7000,ATL@NY 12/17/2019 07:30PM ET,NY,34.63
PF/C,Montrezl Harrell (13977519),Montrezl Harrell,13977519,PF/C/F/UTIL,6900,PHO@LAC 12/17/2019 10:30PM ET,LAC,34.87
PG/SG,Lou Williams (13977523),Lou Williams,13977523,PG/SG/G/UTIL,6800,PHO@LAC 12/17/2019 10:30PM ET,LAC,34.14
SF/PF,Kelly Oubre Jr. (13977527),Kelly Oubre Jr.,13977527,SF/PF/F/UTIL,6700,PHO@LAC 12/17/2019 10:30PM ET,PHO,31.96
PF/C,Zion Williamson (13977531),Zion Williamson,13977531,PF/C/F/UTIL,6600,BKN@NO 12/17/2019 08:00PM ET,NO,0
PG/SG,Victor Oladipo (13977535),Victor Oladipo,13977535,PG/SG/G/UTIL,6500,LAL@IND 12/17/2019 07:00PM ET,IND,0
SF/PF,Jonathan Isaac (13977539),Jonathan Isaac,13977539,SF/PF/F/UTIL,6400,ORL@UTA 12/17/2019 09:00PM ET,ORL,32.05
C,Jarrett Allen (13977543),Jarrett Allen,13977543,C/UTIL,6400,BKN@NO 12/17/2019 08:00PM ET,BKN,31.16
SG/SF,Evan Fournier (13977545),Evan Fournier,13977545,SG/SF/F/G/UTIL,6300,ORL@UTA 12/17/2019 09:00PM ET,ORL,31.06
SF/PF,Marcus Morris Sr. (13977558),Marcus Morris Sr.,13977558,SF/PF/F/UTIL,6200,ATL@NY 12/17/2019 07:30PM ET,NY,31.57
PG/SG,Terry Rozier (13977554),Terry Rozier,13977554,PG/SG/G/UTIL,6200,SAC@CHA 12/17/2019 07:00PM ET,CHA,31.44
PF/C,PJ Washington (13977562),PJ Washington,13977562,PF/C/F/UTIL,6200,SAC@CHA 12/17/2019 07:00PM ET,CHA,25.49
SF/PF,Bojan Bogdanovic (13977550),Bojan Bogdanovic,13977550,SF/PF/F/UTIL,6200,ORL@UTA 12/17/2019 09:00PM ET,UTA,31.09
SF/PF,Aaron Gordon (13977566),Aaron Gordon,13977566,SF/PF/F/UTIL,6100,ORL@UTA 12/17/2019 09:00PM ET,ORL,29.41
SF/PF,Dario Saric (13977570),Dario Saric,13977570,SF/PF/F/UTIL,6000,PHO@LAC 12/17/2019 10:30PM ET,PHO,27.15
SF/PF,Jabari Parker (13977574),Jabari Parker,13977574,SF/PF/F/UTIL,5900,ATL@NY 12/17/2019 07:30PM ET,ATL,30.10
SF/PF,Miles Bridges (13977578),Miles Bridges,13977578,SF/PF/F/UTIL,5800,SAC@CHA 12/17/2019 07:00PM ET,CHA,24.63
SG/SF,Joe Ingles (13977582),Joe Ingles,13977582,SG/SF/F/G/UTIL,5700,ORL@UTA 12/17/2019 09:00PM ET,UTA,21.79
PG/SF,Caris LeVert (13977587),Caris LeVert,13977587,PG/SF/F/G/UTIL,5700,BKN@NO 12/17/2019 08:00PM ET,BKN,29.58
C,Mitchell Robinson (13977597),Mitchell Robinson,13977597,C/UTIL,5600,ATL@NY 12/17/2019 07:30PM ET,NY,23.66
SG/SF,JJ Redick (13977592),JJ Redick,13977592,SG/SF/F/G/UTIL,5600,BKN@NO 12/17/2019 08:00PM ET,NO,25.35
C,Myles Turner (13977603),Myles Turner,13977603,C/UTIL,5500,LAL@IND 12/17/2019 07:00PM ET,IND,26.10
PF/C,Marvin Bagley III (13977605),Marvin Bagley III,13977605,PF/C/F/UTIL,5500,SAC@CHA 12/17/2019 07:00PM ET,SAC,25.06
PG,Mike Conley (13977609),Mike Conley,13977609,PG/G/UTIL,5500,ORL@UTA 12/17/2019 09:00PM ET,UTA,26.82
SF/PF,Taurean Prince (13977599),Taurean Prince,13977599,SF/PF/F/UTIL,5500,BKN@NO 12/17/2019 08:00PM ET,BKN,27.36
PF/C,Cody Zeller (13977612),Cody Zeller,13977612,PF/C/F/UTIL,5400,SAC@CHA 12/17/2019 07:00PM ET,CHA,25.31
SF/PF,Harrison Barnes (13977616),Harrison Barnes,13977616,SF/PF/F/UTIL,5400,SAC@CHA 12/17/2019 07:00PM ET,SAC,28.14
C,DeAndre Jordan (13977620),DeAndre Jordan,13977620,C/UTIL,5400,BKN@NO 12/17/2019 08:00PM ET,BKN,26
SG/SF,Bogdan Bogdanovic (13977622),Bogdan Bogdanovic,13977622,SG/SF/F/G/UTIL,5300,SAC@CHA 12/17/2019 07:00PM ET,SAC,27.19
PG,Elfrid Payton (13977627),Elfrid Payton,13977627,PG/G/UTIL,5200,ATL@NY 12/17/2019 07:30PM ET,NY,23.4
PF,Nemanja Bjelica (13977634),Nemanja Bjelica,13977634,PF/F/UTIL,5100,SAC@CHA 12/17/2019 07:00PM ET,SAC,26.73
PG/SG,Markelle Fultz (13977630),Markelle Fultz,13977630,PG/SG/G/UTIL,5100,ORL@UTA 12/17/2019 09:00PM ET,ORL,23.48
PF/C,Frank Kaminsky (13977637),Frank Kaminsky,13977637,PF/C/F/UTIL,5000,PHO@LAC 12/17/2019 10:30PM ET,PHO,23.71
PG/SG,Patrick Beverley (13977657),Patrick Beverley,13977657,PG/SG/G/UTIL,5000,PHO@LAC 12/17/2019 10:30PM ET,LAC,24.62
SF/PF,T.J. Warren (13977650),T.J. Warren,13977650,SF/PF/F/UTIL,5000,LAL@IND 12/17/2019 07:00PM ET,IND,26.22
PF/C,Richaun Holmes (13977641),Richaun Holmes,13977641,PF/C/F/UTIL,5000,SAC@CHA 12/17/2019 07:00PM ET,SAC,28.38
SG/SF,Joe Harris (13977645),Joe Harris,13977645,SG/SF/F/G/UTIL,5000,BKN@NO 12/17/2019 08:00PM ET,BKN,24.98
PG,Lonzo Ball (13977654),Lonzo Ball,13977654,PG/G/UTIL,5000,BKN@NO 12/17/2019 08:00PM ET,NO,26.79
SG/SF,Jeremy Lamb (13977661),Jeremy Lamb,13977661,SG/SF/F/G/UTIL,4900,LAL@IND 12/17/2019 07:00PM ET,IND,27.99
C,Bismack Biyombo (13977671),Bismack Biyombo,13977671,C/UTIL,4800,SAC@CHA 12/17/2019 07:00PM ET,CHA,17.68
SG/SF,Garrett Temple (13977666),Garrett Temple,13977666,SG/SF/F/G/UTIL,4800,BKN@NO 12/17/2019 08:00PM ET,BKN,21.38
PG,Rajon Rondo (13977678),Rajon Rondo,13977678,PG/G/UTIL,4700,LAL@IND 12/17/2019 07:00PM ET,LAL,23.58
SG/SF,Josh Hart (13977673),Josh Hart,13977673,SG/SF/F/G/UTIL,4700,BKN@NO 12/17/2019 08:00PM ET,NO,24.81
C,Alex Len (13977687),Alex Len,13977687,C/UTIL,4600,ATL@NY 12/17/2019 07:30PM ET,ATL,18.73
C,Aron Baynes (13977685),Aron Baynes,13977685,C/UTIL,4600,PHO@LAC 12/17/2019 10:30PM ET,PHO,27.24
PF/C,Derrick Favors (13977681),Derrick Favors,13977681,PF/C/F/UTIL,4600,BKN@NO 12/17/2019 08:00PM ET,NO,22.91
SF/PF,De'Andre Hunter (13977689),De'Andre Hunter,13977689,SF/PF/F/UTIL,4500,ATL@NY 12/17/2019 07:30PM ET,ATL,22.55
PG/SG,RJ Barrett (13977698),RJ Barrett,13977698,PG/SG/G/UTIL,4500,ATL@NY 12/17/2019 07:30PM ET,NY,27.64
SG/SF,Terrence Ross (13977693),Terrence Ross,13977693,SG/SF/F/G/UTIL,4500,ORL@UTA 12/17/2019 09:00PM ET,ORL,21.28
SF/PF,Moe Harkless (13977702),Moe Harkless,13977702,SF/PF/F/UTIL,4400,PHO@LAC 12/17/2019 10:30PM ET,LAC,15.55
SG/SF,Mikal Bridges (13977706),Mikal Bridges,13977706,SG/SF/F/G/UTIL,4400,PHO@LAC 12/17/2019 10:30PM ET,PHO,17.42
PG,D.J. Augustin (13977711),D.J. Augustin,13977711,PG/G/UTIL,4400,ORL@UTA 12/17/2019 09:00PM ET,ORL,20.91
C,Ivica Zubac (13977714),Ivica Zubac,13977714,C/UTIL,4300,PHO@LAC 12/17/2019 10:30PM ET,LAC,19.88
SG/SF,Kevin Huerter (13977716),Kevin Huerter,13977716,SG/SF/F/G/UTIL,4200,ATL@NY 12/17/2019 07:30PM ET,ATL,19.52
SF/PF,Cameron Johnson (13977726),Cameron Johnson,13977726,SF/PF/F/UTIL,4100,PHO@LAC 12/17/2019 10:30PM ET,PHO,17.25
SG/SF,Kentavious Caldwell-Pope (13977721),Kentavious Caldwell-Pope,13977721,SG/SF/F/G/UTIL,4100,LAL@IND 12/17/2019 07:00PM ET,LAL,15.95
PG/SG,Cam Reddish (13977730),Cam Reddish,13977730,PG/SG/G/UTIL,4000,ATL@NY 12/17/2019 07:30PM ET,ATL,17.85
C,Dwight Howard (13977734),Dwight Howard,13977734,C/UTIL,4000,LAL@IND 12/17/2019 07:00PM ET,LAL,19.46
SG/SF,Danny Green (13977736),Danny Green,13977736,SG/SF/F/G/UTIL,4000,LAL@IND 12/17/2019 07:00PM ET,LAL,18.92
SF/PF,Kyle Kuzma (13977741),Kyle Kuzma,13977741,SF/PF/F/UTIL,4000,LAL@IND 12/17/2019 07:00PM ET,LAL,17.9
C,JaVale McGee (13977745),JaVale McGee,13977745,C/UTIL,3900,LAL@IND 12/17/2019 07:00PM ET,LAL,19.12
PG/SG,Aaron Holiday (13977747),Aaron Holiday,13977747,PG/SG/G/UTIL,3900,LAL@IND 12/17/2019 07:00PM ET,IND,18.99
PG,T.J. McConnell (13977755),T.J. McConnell,13977755,PG/G/UTIL,3800,LAL@IND 12/17/2019 07:00PM ET,IND,18.15
PG/SG,Cory Joseph (13977751),Cory Joseph,13977751,PG/SG/G/UTIL,3800,SAC@CHA 12/17/2019 07:00PM ET,SAC,17.33
C,Khem Birch (13977760),Khem Birch,13977760,C/UTIL,3800,ORL@UTA 12/17/2019 09:00PM ET,ORL,15.56
C,Jaxson Hayes (13977758),Jaxson Hayes,13977758,C/UTIL,3800,BKN@NO 12/17/2019 08:00PM ET,NO,19.62
