Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Trae Young (14021141),Trae Young,14021141,PG/G/UTIL,11200,ATL@CLE 12/23/2019 07:00PM ET,ATL,49.40
PG/SG,James Harden (14021144),James Harden,14021144,PG/SG/G/UTIL,11000,HOU@SAC 12/23/2019 10:00PM ET,HOU,62.99
C,Karl-Anthony Towns (14021148),Karl-Anthony Towns,14021148,C/UTIL,10400,MIN@GS 12/23/2019 10:30PM ET,MIN,53.74
C,Joel Embiid (14021150),Joel Embiid,14021150,C/UTIL,10200,PHI@DET 12/23/2019 07:00PM ET,PHI,48.56
C,Andre Drummond (14021152),Andre Drummond,14021152,C/UTIL,10100,PHI@DET 12/23/2019 07:00PM ET,DET,49.46
PF/C,Pascal Siakam (14021154),Pascal Siakam,14021154,PF/C/F/UTIL,9400,TOR@IND 12/23/2019 07:00PM ET,TOR,44.77
SG,Bradley Beal (14021158),Bradley Beal,14021158,SG/G/UTIL,9300,WAS@NY 12/23/2019 07:00PM ET,WAS,47.56
C,Nikola Jokic (14021161),Nikola Jokic,14021161,C/UTIL,9100,DEN@PHO 12/23/2019 09:00PM ET,DEN,43.76
C,Rudy Gobert (14021163),Rudy Gobert,14021163,C/UTIL,9000,UTA@MIA 12/23/2019 07:30PM ET,UTA,39.94
PG,Russell Westbrook (14021165),Russell Westbrook,14021165,PG/G/UTIL,8900,HOU@SAC 12/23/2019 10:00PM ET,HOU,48.41
PG,Kyle Lowry (14021168),Kyle Lowry,14021168,PG/G/UTIL,8800,TOR@IND 12/23/2019 07:00PM ET,TOR,41.33
C,Bam Adebayo (14021171),Bam Adebayo,14021171,C/UTIL,8700,UTA@MIA 12/23/2019 07:30PM ET,MIA,40.65
PG,Stephen Curry (14021173),Stephen Curry,14021173,PG/G/UTIL,8600,MIN@GS 12/23/2019 10:30PM ET,GS,39.38
PG/SF,Ben Simmons (14021176),Ben Simmons,14021176,PG/SF/F/G/UTIL,8500,PHI@DET 12/23/2019 07:00PM ET,PHI,39.77
SF/PF,Brandon Ingram (14021181),Brandon Ingram,14021181,SF/PF/F/UTIL,8400,NO@POR 12/23/2019 10:00PM ET,NO,42.76
SG/SF,Andrew Wiggins (14021185),Andrew Wiggins,14021185,SG/SF/F/G/UTIL,8400,MIN@GS 12/23/2019 10:30PM ET,MIN,40.14
PG/SG,Donovan Mitchell (14021190),Donovan Mitchell,14021190,PG/SG/G/UTIL,8300,UTA@MIA 12/23/2019 07:30PM ET,UTA,39.66
PG,Damian Lillard (14021194),Damian Lillard,14021194,PG/G/UTIL,8300,NO@POR 12/23/2019 10:00PM ET,POR,46.80
C,Jusuf Nurkic (14021199),Jusuf Nurkic,14021199,C/UTIL,8200,NO@POR 12/23/2019 10:00PM ET,POR,0
C,Nikola Vucevic (14021197),Nikola Vucevic,14021197,C/UTIL,8200,CHI@ORL 12/23/2019 07:00PM ET,ORL,41.24
SG/SF,Jimmy Butler (14021201),Jimmy Butler,14021201,SG/SF/F/G/UTIL,8100,UTA@MIA 12/23/2019 07:30PM ET,MIA,43.89
PG/SG,Zach LaVine (14021206),Zach LaVine,14021206,PG/SG/G/UTIL,8000,CHI@ORL 12/23/2019 07:00PM ET,CHI,38.27
C,Hassan Whiteside (14021210),Hassan Whiteside,14021210,C/UTIL,7900,NO@POR 12/23/2019 10:00PM ET,POR,40.89
PG/SG,Devin Booker (14021212),Devin Booker,14021212,PG/SG/G/UTIL,7900,DEN@PHO 12/23/2019 09:00PM ET,PHO,40.25
PG/SG,Jrue Holiday (14021220),Jrue Holiday,14021220,PG/SG/G/UTIL,7800,NO@POR 12/23/2019 10:00PM ET,NO,40.15
PF/C,Domantas Sabonis (14021216),Domantas Sabonis,14021216,PF/C/F/UTIL,7800,TOR@IND 12/23/2019 07:00PM ET,IND,43.53
PF/C,Serge Ibaka (14021224),Serge Ibaka,14021224,PF/C/F/UTIL,7700,TOR@IND 12/23/2019 07:00PM ET,TOR,27.22
PG/SG,Fred VanVleet (14021228),Fred VanVleet,14021228,PG/SG/G/UTIL,7600,TOR@IND 12/23/2019 07:00PM ET,TOR,37.12
PF/C,John Collins (14021232),John Collins,14021232,PF/C/F/UTIL,7600,ATL@CLE 12/23/2019 07:00PM ET,ATL,36.9
PG/SG,D'Angelo Russell (14021236),D'Angelo Russell,14021236,PG/SG/G/UTIL,7500,MIN@GS 12/23/2019 10:30PM ET,GS,38
C,Clint Capela (14021246),Clint Capela,14021246,C/UTIL,7400,HOU@SAC 12/23/2019 10:00PM ET,HOU,39.97
